feature,mean_importance,bootstrap_stability
CpG5_prom,0.0003144971062805712,0.0
S6,0.0003068752436002607,0.0
Cleaved-Caspase7,0.0003067279571573544,0.0
CpG9_prom,0.00030532315066982355,0.0
PI3K-p110a,0.0003025166351342233,0.0
CpG15_prom,0.00029953918824722774,0.0
FOXO3a,0.0002985164010720873,0.0
CpG14_prom,0.0002963932108137404,0.0
Cleaved-PARP,0.0002869120668751058,0.0
p27,0.0002860322697434371,0.0
p21,0.0002859069244518892,0.0
CpG25_prom,0.00027885863760779983,0.0
PWY27,0.0002779516403841649,0.0
CpG24_prom,0.00025320658569454556,0.0
TP53,0.0001334021510559725,0.0
BRCA1_LOF,4.405067982579755e-05,0.0
PIK3CA,4.230376813624033e-05,0.0
NF1,4.206463735891708e-05,0.0
CCND1_AMP,3.961116444404506e-05,0.0
MAP3K1,3.6986848226408005e-05,0.0
GATA3,3.488946905776022e-05,0.0
BRCA2_LOF,3.434338759288572e-05,0.0
CDH1,3.2523687400821154e-05,0.0
